,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag,countries
0,US,40,44,42,126,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/usa.bf6269f21d4ab5949484.svg,United States
1,CHN,40,27,24,91,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/china.b0b5a07a774cf993e8d7.svg,China
2,JPN,20,12,13,45,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/japan.26b449cd6bd77a0c67a3.svg,Japan
3,AUS,18,19,16,53,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/australia.d87ed11d274b47ddac70.svg,Australia
4,FRA,16,26,22,64,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/france.ffea821530df51ff3a5d.svg,France
5,NED,15,7,12,34,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/netherlands.885d4cdbf2ab08ef40b3.svg,Netherlands
6,GB,14,22,29,65,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/united-kingdom.96d1154175016c06bc8b.svg,Great BritainKorea
7,KOR,13,9,10,32,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/south-korea.2a4a354b82b49c7ec697.svg,southkorea
8,ITA,12,13,15,40,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/italy.ff63b97d0c7f6f9f4191.svg,Italy
9,GER,12,13,8,33,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/germany.2ad1e02b9b0e29c2fd32.svg,Germany
10,NZ,10,7,3,20,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/new-zealand.f9284bb97b0f667e0714.svg,New Zealand
11,CAN,9,7,11,27,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/canada.a77d8bc136cb29f75e4b.svg,Canada
12,UZB,8,2,3,13,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/uzbekistan.f998490868fad2a49287.svg,Uzbekistan
13,HUN,6,7,6,19,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/hungary.9358b99c01e956ff6c78.svg,Hungary
14,SPA,5,4,9,18,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/spain.3eb804a0e031bb2606b0.svg,Spain
15,SWE,4,4,3,11,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/sweden.d36505619cbadc9312b9.svg,Sweden
16,KEN,4,2,5,11,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/kenya.e46c4856af97b1ffba7f.svg,Kenya
17,NOR,4,1,3,8,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/norway.39e00d49caa4f65317ac.svg,Norway
18,IRE,4,0,3,7,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/republic-of-ireland.f8ce581d7158b1bec36f.svg,Ireland
19,BRZ,3,7,10,20,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/brazil.cac5e1e226fe3e18f122.svg,Brazil
20,IRN,3,6,3,12,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/iran.7e8b3edb9302271743df.svg,IR Iran
21,UKR,3,5,4,12,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ukraine.3152ebf9a82ba8369726.svg,Ukraine
22,ROM,3,4,2,9,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/romania.346f1bc1eca1eb9b7820.svg,Romania
23,GEO,3,3,1,7,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/georgia.caeaaa198ff0bfc3b8a4.svg,Georgia
24,BEL,3,1,6,10,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/belgium.38e23685e8b787a596e9.svg,Belgium
25,BUL,3,1,3,7,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bulgaria.c3f2878cf85418714adc.svg,Bulgaria
26,SER,3,1,1,5,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/serbia.a32a82dfba434edf01c9.svg,Serbia
27,CZE,3,0,2,5,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/czech-republic.9a1870ad6a24a0911428.svg,Czechia
